p:batch_size,p:eps,p:norm,objective,job_id,m:timestamp_submit,m:timestamp_gather
8,0.2646657222892804,1,-0.9792,0,0.03511381149291992,7.662016868591309
32,0.31675695589144803,2,-0.9573,1,0.03513312339782715,7.917535781860352
32,0.22825343088702302,2,-0.9658,2,7.6952149868011475,10.698517799377441
16,0.0837964291511578,2,-0.9766,3,7.930999994277954,11.344588994979858
16,0.12086532136931867,1,-0.9794,5,11.357371091842651,14.513001203536987
16,0.1499252900661077,inf,-0.6373,6,14.533592939376831,17.98255205154419
2,0.31162012833170954,2,-0.9578,4,10.712021827697754,18.134236097335815
8,0.014662865652003445,1,-0.9798,7,18.133872985839844,20.92372703552246
4,0.2192895498914818,2,-0.9665,8,18.145322799682617,22.51987600326538
4,0.25746010045924456,1,-0.9792,9,20.948024034500122,25.146095991134644
8,0.12781259078033,1,-0.9793,10,22.532842874526978,25.23600697517395
2,0.011225168025729263,inf,-0.9739,11,25.235651969909668,33.6381311416626
2,0.07811537697756181,inf,-0.8375,12,25.328550100326538,33.77345085144043
64,0.05100889732041838,inf,-0.9059,14,33.86894083023071,36.611241817474365
16,0.09911111751737871,inf,-0.7801,13,33.735487937927246,37.21686601638794
16,0.04071018000694617,inf,-0.9287,15,36.75473189353943,40.54875993728638
64,0.24558709634129638,inf,-0.3973,16,37.45695614814758,40.81460380554199
64,0.14613467871947353,inf,-0.6495,17,40.686206102371216,43.465616941452026
2,0.43216268387676754,inf,-0.1664,18,41.053183794021606,48.52710294723511
2,0.4041687805882041,inf,-0.1819,19,43.584064960479736,50.96125793457031
64,0.45124112663852484,inf,-0.1556,21,51.24981498718262,54.07075500488281
2,0.368165875320075,inf,-0.215,20,48.644192934036255,55.90272903442383
64,0.42418248830328226,inf,-0.1692,22,54.200161933898926,56.953086137771606
64,0.4075379537297586,inf,-0.1793,23,56.025957107543945,58.77760982513428
64,0.4398805568423685,inf,-0.1618,24,57.09672212600708,59.676958084106445
64,0.4439306051283191,inf,-0.1588,25,59.049423933029175,61.693475008010864
16,0.4699284483744037,inf,-0.1472,27,61.814306020736694,64.91578102111816
2,0.44965894222131814,inf,-0.156,26,59.79793906211853,66.63560581207275
4,0.46508847872630676,inf,-0.1494,29,66.75591111183167,70.53326988220215
2,0.47721558136081754,inf,-0.1437,28,65.04033899307251,71.57946419715881
64,0.4697455772080708,inf,-0.1472,30,70.65183401107788,73.10452198982239
64,0.48563970467290973,inf,-0.1422,31,71.70430207252502,74.11045384407043
64,0.4875173236717131,2,-0.935,33,74.35697078704834,76.87799000740051
64,0.48112393648973234,inf,-0.1424,34,76.99777507781982,79.6957700252533
2,0.4757789224547857,inf,-0.1443,32,73.22787284851074,80.19868898391724
16,0.48573649637750005,inf,-0.1421,36,80.32189989089966,83.57178997993469
2,0.4856000559237684,inf,-0.142,35,79.8160719871521,86.37536907196045
4,0.4971746112445798,inf,-0.1396,37,83.69063901901245,87.38733410835266
64,0.4965389730146699,inf,-0.1398,39,87.50737404823303,89.99464297294617
2,0.48260267147822167,inf,-0.1421,38,86.49371886253357,93.43667197227478
4,0.4941074467419218,inf,-0.1402,40,90.11472702026367,94.656898021698
64,0.49377272466603406,inf,-0.1404,41,93.55321598052979,96.1942310333252
64,0.49320514608232113,inf,-0.1404,42,94.92298316955566,97.51309704780579
32,0.4970802477189481,inf,-0.1398,43,96.32496094703674,99.06600093841553
8,0.4961908033897208,inf,-0.1397,44,97.6338951587677,100.3621678352356
8,0.497036218206772,inf,-0.1397,45,99.18463706970215,101.83007192611694
4,0.4966186376373419,inf,-0.1398,47,101.95435404777527,106.18051385879517
2,0.4967954132174543,inf,-0.1398,46,100.48120498657227,107.95862889289856
2,0.4990542570819368,inf,-0.1391,48,106.31558585166931,113.71635913848877
2,0.4999508851719306,inf,-0.139,49,108.09622287750244,115.94703602790833
64,0.49950385777032397,inf,-0.1392,50,113.85727405548096,116.51744389533997
32,0.4998014482846614,inf,-0.1392,51,116.20041489601135,119.37911105155945
64,0.49824639114794156,inf,-0.1396,52,116.65790104866028,119.57184505462646
4,0.49888483692184366,inf,-0.1393,53,119.53847908973694,124.48853588104248
2,0.4984958135138748,inf,-0.1396,54,119.71925902366638,127.60647892951965
2,0.49829212725399535,inf,-0.1394,55,124.64935898780823,132.47028279304504
4,0.49956241868483825,inf,-0.1392,56,127.75862216949463,132.62131190299988
4,0.4990763969550701,inf,-0.1391,58,132.77907490730286,137.4628460407257
2,0.49986084115921464,inf,-0.139,57,132.6209020614624,140.66858577728271
32,0.49926048964847014,inf,-0.1393,60,140.98896193504333,144.54899191856384
2,0.4994892009347914,inf,-0.1392,59,137.62418913841248,146.45628881454468
8,0.4989147237187675,inf,-0.1393,61,144.72618699073792,149.22203993797302
4,0.4997983510779948,inf,-0.1391,62,146.6323139667511,152.10851907730103
